Hostname|Last Known Location|IPv4|IPv6|Operating System|Physical/Virtual Machine|Owner|Administrator|U of A Tag Number|Make/Model|Processor|RAM (GB)|Storage Space (GB)|GPU|Serial Number|Status|Rack Number|SRIT Access|Power Up|Support Team|Department|Comments
BSZ-TR-622-01|Z616-WING-CLOSET|129.128.246.37||Switch|Physical||||Hewlett-Packard HP ProCurve 2626||||||Active|||||BioSci-Research|HP J4900B ProCurve Switch 2626: revision H.08.60: ROM H.08.02 (/sw/code/build/fish(f04))
BSZ-TR-801-01|Z801|129.128.246.38||Switch|Physical||||Hewlett-Packard ProCurve Switch 2650B||||||Active|||||BioSci-Research|ProCurve J4899B Switch 2650: revision H.10.83: ROM H.08.02 (/sw/code/build/fish(mkfs))
BSZ-TR-801-02|Z801-BOTTOM|129.128.246.39||Switch|Physical||||Hewlett-Packard ProCurve Switch 2650B||||||Active|||||BioSci-Research|ProCurve J4899B Switch 2650: revision H.10.83: ROM H.08.02 (/sw/code/build/fish(mkfs))
BSM-TR-225-01|M225-TOP|129.128.246.4||Switch|Physical||||Hewlett-Packard HP ProCurve 2610-48||||||Active|||||BioSci-Research|ProCurve J9088A Switch 2610-48: revision R.11.54: ROM R.10.06 (/sw/code/build/nemo(ndx))
Z822-HP2650-PHONE|Z822-PHONE Closet|129.128.246.40||Switch|Physical||||Hewlett-Packard ProCurve Switch 2650B||||||Active|||||BioSci-Research|ProCurve J4899B Switch 2650: revision H.10.83: ROM H.08.02 (/sw/code/build/fish(mkfs))
bsg-tr-222-01||129.128.246.41||Switch|Physical||||H3C H3C HTTPD||||||Active|||||BioSci-Research|HP V1905-48 Switch Product Version 02.00.01 Copyright (c) 2011 Hewlett-Packard Development Company: L.P All rights Reserved.
PROCURVE J9449A|CW405A|129.128.246.42||Switch|Physical||||Hewlett-Packard Web Server||||||Active|||||BioSci-Research|HP ProCurve 1810G - 8 GE: P.1.20: eCos-2.0: CFE-2.1
NPI1ADD2B||129.128.246.43||Printer|Physical||||Hewlett-Packard HP Color LaserJet CP4520 Series||||||Active|||||BioSci-Research|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD145:EEPROM V.38.92:CIDATE 04/30/2009
NPI92EA07|Z207|129.128.246.44||Printer|Physical||||Hewlett-Packard hp LaserJet 4345 mfp||||||Active|||||BioSci-Research|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD128:EEPROM V.28.62:CIDATE 08/15/2005
BSM-TR-225-02|M225-MIDDLE|129.128.246.5||Switch|Physical||||Hewlett-Packard ProCurve Switch 2650B||||||Active|||||BioSci-Research|ProCurve J4899B Switch 2650: revision H.10.83: ROM H.08.02 (/sw/code/build/fish(mkfs))
BS-CW225-ARLENE||129.128.246.54||Windows|Physical|BIO-SCI|||INTEL_ D945GCR_||||||Active|||||BioSci-Research|
NPICEDD19||129.128.246.66||Printer|Physical||||Hewlett-Packard hp LaserJet 1320 series||||||Active|||||BioSci-Research|HP ETHERNET MULTI-ENVIRONMENT:ROM B.25.01:JETDIRECT:JD119:EEPROM V.28.05:CIDATE 04/22/2004
BSM-TR-225-03|M225-BOTTOM|129.128.246.7||Switch|Physical||||Hewlett-Packard ProCurve Switch 2650B||||||Active|||||BioSci-Research|ProCurve J4899B Switch 2650: revision H.10.83: ROM H.08.02 (/sw/code/build/fish(mkfs))
BSM-TR-327-01|M327-TOP|129.128.246.8||Switch|Physical||||Hewlett-Packard HP ProCurve 2650 J4899A||||||Active|||||BioSci-Research|ProCurve J4899A Switch 2650: revision H.10.83: ROM H.08.02 (/sw/code/build/fish(mkfs))
BSM-TR-327-02|M327-MIDDLE|129.128.246.9||Switch|Physical||||Hewlett-Packard HP J4121A ProCurve Switch 4000M||||||Active|||||BioSci-Research|HP J4121A ProCurve Switch 4000M: revision C.09.30: ROM C.06.01 (/sw/code/build/vgro(c09))
goodridge||129.128.25.126||Linux|Physical|||| ||||||Active|||||CS-Research|
blackfoot||129.128.25.168||Linux|Physical|||| ||||||Active|||||CS-Research|
kelsey||129.128.25.174||Linux|Physical|||| ||||||Active|||||CS-Research|
cadotte||129.128.25.179||Linux Server|Physical|||| ||||||Active|||||CS-Research|
dapp1||129.128.25.187||Linux Server|Physical|||| ||||||Active|||||CS-Research|
dapp2||129.128.25.188||Linux Server|Physical|||| ||||||Active|||||CS-Research|
dapp3||129.128.25.189||Linux Server|Physical|||| ||||||Active|||||CS-Research|
dapp4||129.128.25.190||Linux Server|Physical|||| ||||||Active|||||CS-Research|
dhcp-25||129.128.25.227||Linux|Physical|||| ||||||Active|||||CS-Research|
delburne||129.128.25.79||Linux|Physical|||| ||||||Active|||||CS-Research|
consort||129.128.29.229||Linux|Physical||||Dell Inc. PowerEdge 2950||||||Active|||||CS-UGrad|
cs410||129.128.29.246||Linux|Physical||||VMware: Inc. ||||||Active|||||CS-UGrad|
ccimsvr||129.128.30.101||Unknown|Physical|||| ||||||Active|||||EAS|
Emerson Network Power IntelliSlot Web Card||129.128.30.102||Webserver|Physical|||| Allegro-Software-RomPager/4.30||||||Active|||||EAS|
Agilent 34410A (MY47019574)||129.128.30.106||Webserver|Physical|||| Allegro-Software-RomPager/4.10||||||Active|||||EAS|
129||129.128.30.107||Unknown|Physical|||| ||||||Active|||||EAS|
CCIM_RS815NAS||129.128.30.112||NAS|Physical|WORKGROUP||| nginx||||||Active|||||EAS|
CCIMNAS||129.128.30.113||NAS|Physical|WORKGROUP||| http server 1.0||||||Active|||||EAS|WORKGROUP\CCIMNAS 4.9
CCIMPRINTER||129.128.30.99||Printer|Physical||||Hewlett-Packard HP LaserJet M3027 MFP||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD132:EEPROM V.34.68:CIDATE 06/27/2008
onoway||129.128.4.129||Linux Server|Physical|||| Apache/2.2.3 (Red Hat)||||||Active|||||CS-Research|
otrs|CSC139|129.128.4.140||Linux Server|Physical|||| ||||||Active|||||CS-Research|"(Post-SPOC) Users of Computing Science legacy ticketing system (IST Analysts) OTRS server for Computing Science's ticket tracing system - Will be transition to Service Now - planned to be decommissioned by the end of 2015."
webdocs-dev||129.128.4.17||Linux Server|Physical|||| ||||||Active|||||CS-Research|
fs2||129.128.4.191||Linux Server|Physical|||| ||||||Active|||||CS-Research|
You cannot administer the appliance via this IP address||129.128.4.192||Linux|Physical|||| ||||||Active|||||CS-Research|
rescue||129.128.4.207||Linux|Physical||||Supermicro X7DBR||||||Active|||||CS-Research|
stauffer||129.128.4.221||Linux|Physical|||| ||||||Active|||||CS-Research|
innisfree||129.128.4.225||Linux Server|Physical|||| ||||||Active|||||CS-Research|
dhcp-4||129.128.4.227||Unix|Physical|||| ||||||Active|||||CS-Research|
puppet-console||129.128.4.229||Linux|Physical|||| Apache/2.2.22 (Ubuntu)||||||Active|||||CS-Research|
puppet-db||129.128.4.230||Linux|Physical|||| ||||||Active|||||CS-Research|
hanna||129.128.4.48||Linux|Physical|||| ||||||Active|||||CS-Research|
jarvie||129.128.4.49||Linux|Physical|||| ||||||Active|||||CS-Research|
cswebcam||129.128.4.53||Linux|Physical|||| ||||||Active|||||CS-Research|
luscar||129.128.4.67||Linux|Physical|||| ||||||Active|||||CS-Research|
oardakan-desktop||129.128.4.96||Linux|Physical|||| ||||||Active|||||CS-Research|
issbd||129.128.40.138||Webserver|Physical|||| Apache/2.2.3 (CentOS)||||||Active|||||Psychology|
rast-server||129.128.40.141||Linux|Physical|||| Apache/2.4.18 (Ubuntu)||||||Active|||||Psychology|
MONICA||129.128.40.145||NAS|Physical|WORKGROUP|||ASUSTek COMPUTER INC. ||||||Active|||||Psychology|
MONICA||129.128.40.145||Windows|Physical|WORKGROUP|||ASUSTek COMPUTER INC. ||||||Active|||||Psychology|
GABRIELE||129.128.40.146||NAS|Physical|WORKGROUP|||ASUSTEK COMPUTER INC. ||||||Active|||||Psychology|
GABRIELE||129.128.40.146||Windows|Physical|WORKGROUP|||ASUSTEK COMPUTER INC. ||||||Active|||||Psychology|
MATHEWSON||129.128.40.148||NAS|Physical|WORKGROUP||| Apache||||||Active|||||Psychology|
mathewson-lab1||129.128.40.151||Unknown|Physical|||| ||||||Active|||||Psychology|
mathewson-lab2||129.128.40.152||NAS|Physical|||| ||||||Active|||||Psychology|
P116-SERVER||129.128.40.229||NAS|Physical|LAB116|||ASUSTek COMPUTER INC. ||||||Active|||||Psychology|
P116-SERVER||129.128.40.229||Windows|Physical|LAB116|||ASUSTek COMPUTER INC. ||||||Active|||||Psychology|
u16-gold||129.128.41.225||Linux|Physical|||| ||||||Active|||||CS-UGrad|
falun||129.128.41.237||Linux|Physical|||| ||||||Active|||||CS-UGrad|
ohaton||129.128.41.238||Linux Server|Physical|||| ||||||Active|||||CS-UGrad|
amisk||129.128.41.239||Linux Server|Physical|||| ||||||Active|||||CS-UGrad|
czar||129.128.41.243||Linux|Physical|||| ||||||Active|||||CS-UGrad|
IST-578586||129.128.46.39||Windows|Physical|EA_Science||| ||||||Active|||||EAS|Head House PC 1
610YJH2||129.128.46.44||Windows|Physical|EA_Science|||Dell Inc. OptiPlex 7040||||||Active|||||EAS|Dell Optiplex 7040 * Head House
NPIA16E46||129.128.46.50||Printer|Physical||||Hewlett-Packard HP LaserJet M402dn||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:SN:PHBQB41931:FN:1L5382N:SVCID:27080:PID:HP LaserJet M402dn
polaris||129.128.52.103||Webserver|Physical|||| ||||||Active|||||Psychology|
NPI1C2542|HP Color LaserJet CP2025dn|129.128.52.11||Printer|Physical|WORKGROUP|||Hewlett-Packard HP Color LaserJet CP2025dn||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:SN:CNGS363700:FN:MB20QNG:SVCID:21118:PID:HP Color LaserJet CP2025dn
SHOP-3600||129.128.52.11||Printer|Physical||||Hewlett-Packard HP Color LaserJet 3600||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD121:EEPROM V.30.31:CIDATE 06/17/2005
U-of-AB---Psychology|"""Location Name"""|129.128.52.112||Webserver|Physical||||ViaVideo Communications: Inc. lighttpd||||||Active|||||Psychology|"""Videoconferencing Device"""
manzanita||129.128.52.115||Linux|Physical|||| ||||||Active|||||Psychology|
psychshopsw2||129.128.52.12||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
carl|P-456|129.128.52.120||Unknown|Physical|WORKGROUP||| ||||||Active|||||Psychology|Research Lab; Mac Mini
WEIMIN||129.128.52.128||Linux|Physical|WORKGROUP||| ||||||Active|||||Psychology|
MOUWBACKUP||129.128.52.129||NAS|Physical|WORKGROUP||| ||||||Active|||||Psychology|
sally||129.128.52.142||Linux|Physical|||| ||||||Active|||||Psychology|
doc||129.128.52.143||Linux|Physical|||| ||||||Active|||||Psychology|
NPIB50384||129.128.52.145||Printer|Physical||||Hewlett-Packard HP LaserJet 400 M401dne||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:SN:PHGFG05876:FN:Z442X5E:SVCID:24142:PID:HP LaserJet 400 M401dne
friedman||129.128.52.148||Unknown|Physical|||| ||||||Active|||||Psychology|
psychsw1f-2||129.128.52.15||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
psychsw1f-3||129.128.52.16||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
kuikenhs||129.128.52.164||Unknown|Physical|||| ||||||Active|||||Psychology|
psychsw3f-4||129.128.52.17||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
P116-m401n|P116|129.128.52.174||Printer|Physical||||Hewlett-Packard HP LaserJet 400 M401n||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:SN:VNG4610617:FN:X562063:SVCID:23244:PID:HP LaserJet 400 M401n
PSYCH_STORAGE||129.128.52.18||Linux|Physical|PSYCHOLOGY||| Apache||||||Active|||||Psychology|
dumpledore||129.128.52.181||Linux|Physical|||| ||||||Active|||||Psychology|
NPIE028D4|HP Color LaserJet CM2320fxi MFP|129.128.52.184||Printer|Physical|WORKGROUP|||Hewlett-Packard HP Color LaserJet CM2320fxi MFP||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:SN:CNB991D58F:FN:NN30HN9:SVCID:19083:PID:HP Color LaserJet CM2320fxi MFP
psychsw1f-4||129.128.52.19||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
DUG||129.128.52.192||Linux|Physical|WORKGROUP||| ||||||Active|||||Psychology|
DEADWOOD||129.128.52.193||Linux|Physical|WORKGROUP||| ||||||Active|||||Psychology|
xerox5655|machine location not set|129.128.52.195||Printer|Physical||||Xerox Xerox WorkCentre 5875 v1 Multifunction System||||||Active|||||Psychology|Xerox WorkCentre 5875 v1 Multifunction System; System Software 071.190.034.06000: ESS 071.194.06010.LL
XEROX_5335||129.128.52.196||Printer|Physical|WORKGROUP|||Xerox Xerox WorkCentre 5335 v 30. 39.  0 Multifunction System||||||Active|||||Psychology|Xerox WorkCentre 5335;System 53.20.41:ESS1.205.2:IOT 30.39.0:FIN B17.3.0:ADF 7.10.0:FAX 1.1.12:SJFI3.0.18:SSMI1.16.0
NPI2E9507|HP Color LaserJet CP2025dn|129.128.52.197||Printer|Physical|WORKGROUP|||Hewlett-Packard HP Color LaserJet CP2025dn||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:SN:CNBSB07653:FN:MB02ZHP:SVCID:19134:PID:HP Color LaserJet CP2025dn
psychsw1f-1||129.128.52.2||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
php||129.128.52.203||Webserver|Physical|||| Apache/2.2.15 (CentOS)||||||Active|||||Psychology|
rp||129.128.52.204||Webserver|Physical|||| Apache/2.2.15 (CentOS)||||||Active|||||Psychology|
alcatraz||129.128.52.205||Linux|Physical|||| ||||||Active|||||Psychology|
eeggrid||129.128.52.214||Linux|Physical|||| ||||||Active|||||Psychology|
HANK||129.128.52.216||Linux|Physical|WORKGROUP||| ||||||Active|||||Psychology|
NPI8DA3C2||129.128.52.217||Printer|Physical||||Hewlett-Packard HP LaserJet P2055dn||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD137:EEPROM V.37.07:CIDATE 06/11/2008
psychsw3f-5||129.128.52.22||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
NPIA07760||129.128.52.226||Printer|Physical||||Hewlett-Packard HP LaserJet P2055dn||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD137:EEPROM V.37.12:CIDATE 07/12/2010:IT debuglite
mem||129.128.52.230||Linux|Physical|||| ||||||Active|||||Psychology|
apollo||129.128.52.231||Linux|Physical|||| ||||||Active|||||Psychology|
hades||129.128.52.232||Linux|Physical|||| ||||||Active|||||Psychology|
CFW-LEOPARD-EXT||129.128.52.233||Linux|Physical|WORKGROUP||| Apache/2.4.18 (Ubuntu)||||||Active|||||Psychology|
129||129.128.52.247||Linux|Physical|||| ||||||Active|||||Psychology|
SHOPDISK||129.128.52.248||NAS|Physical|SHOP||| ||||||Active|||||Psychology|
psychwd||129.128.52.250||Unknown|Physical|||| ||||||Active|||||Psychology|
psychsw3f-7||129.128.52.26||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
cmlgrid||129.128.52.27||Linux|Physical|||| ||||||Active|||||Psychology|
ProCurve2810-48G SHOPSW1|Shop Server Room P102E|129.128.52.3||Switch|Physical||||Hewlett-Packard HP ProCurve Switch 2810-48G||||||Active|||||Psychology|ProCurve J9022A Switch 2810-48G: revision N.11.25: ROM N.10.01 (/sw/code/build/bass(bh2))
ICE||129.128.52.32||NAS|Physical|MYGROUP||| ||||||Active|||||Psychology|
oldcount||129.128.52.33||Webserver|Physical|||| Apache/2.2.14 (Fedora)||||||Active|||||Psychology|
laserjetfred||129.128.52.35||Printer|Physical||||Hewlett-Packard HP LaserJet 5||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:ROM K.07.15:JETDIRECT:JD36:EEPROM K.07.17
count|P-102|129.128.52.36||Unknown|Physical|||| Apache/2.2.15 (CentOS)||||||Active|||||Psychology|Web / Research server for dept web: lab & course sites: on-line surveys
sites||129.128.52.37||Webserver|Physical|||| Apache/2.2.15 (CentOS)||||||Active|||||Psychology|
psychsw3f-3||129.128.52.4||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
dim||129.128.52.42||Printer|Physical||||Hewlett-Packard hp LaserJet 1320 series||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:ROM B.25.01:JETDIRECT:JD119:EEPROM V.28.05:CIDATE 04/22/2004
NPI71C29F||129.128.52.43||Printer|Physical||||Hewlett-Packard HP Color LaserJet 3600||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD121:EEPROM V.30.31:CIDATE 06/17/2005
HPF4246A||129.128.52.45||Printer|Physical||||microC Design SRL Officejet Pro K8600||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT
bcp||129.128.52.46||Webserver|Physical|||| Apache/2.2.15 (CentOS)||||||Active|||||Psychology|
NPI8BBF15||129.128.52.47||Printer|Physical||||Hewlett-Packard HP LaserJet P4515||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD143:EEPROM V.36.41:CIDATE 06/12/2009
psychsw3f-2||129.128.52.5||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
russell||129.128.52.50||Linux|Physical|||| ||||||Active|||||Psychology|
shopwebcam||129.128.52.51||Webserver|Physical|||| ||||||Active|||||Psychology|
lightning||129.128.52.52||Linux|Physical|||| ||||||Active|||||Psychology|
ADMINSYN||129.128.52.54||NAS|Physical|ADMIN||| nginx||||||Active|||||Psychology|
psychsw3f-1||129.128.52.6||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
axis70u||129.128.52.62||NAS|Physical||||AXIS COMMUNICATIONS AB ||||||Active|||||Psychology|AXIS 70U Network Document Server:Version: 3.00
129||129.128.52.79||Webserver|Physical|||| ||||||Active|||||Psychology|
NPIF5EDEB||129.128.52.81||Printer|Physical||||Hewlett-Packard HP LaserJet 400 M401dn||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:SN:VNB4M09100:FN:X6207KH:SVCID:23042:PID:HP LaserJet 400 M401dn
gradprint||129.128.52.82||Printer|Physical||||Hewlett-Packard hp LaserJet 1320 series||||||Active|||||Psychology|HP ETHERNET MULTI-ENVIRONMENT:ROM B.25.01:JETDIRECT:JD119:EEPROM V.28.05:CIDATE 04/22/2004
psychsw3f-6||129.128.52.9||Webserver|Physical|||| eHTTP v2.0||||||Active|||||Psychology|
shoptest1||129.128.52.96||Linux|Physical|||| ||||||Active|||||Psychology|
shoptest2||129.128.52.97||Linux|Physical|||| ||||||Active|||||Psychology|
NHARRIS-2-04||129.128.54.101||Windows|Physical|STS||| ||||||Active|||||EAS|
NHARRIS-2-04||129.128.54.101||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
CZAS-T3-16||129.128.54.103||Windows|Physical|STS|||Dell Inc. Precision T3600||||||Active|||||EAS|
DCAIRD-ESB-B02B||129.128.54.104||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
ESB417-I5||129.128.54.104||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
PEARSON-LAB-004||129.128.54.107||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
PEARSON-LAB-004||129.128.54.107||Windows|Physical|STS||| ||||||Active|||||EAS|
318esb||129.128.54.108||Unknown|Physical|||| Microsoft-IIS/10.0||||||Active|||||EAS|
ESB3-12PETROLOG||129.128.54.108||Windows|Physical|sts||| ||||||Active|||||EAS|
ZEISS-SIGMA||129.128.54.109||Windows|Physical|WORKGROUP|||DFI Inc. ||||||Active|||||EAS|
GLSHCH2||129.128.54.11||Windows|Physical|STS|||Dell Inc. Precision Tower 7810||||||Active|||||EAS|
wapiabi||129.128.54.113||Unknown|Physical|||| ||||||Active|||||EAS|
1ldo181||129.128.54.114||Linux|Physical|||| ||||||Active|||||EAS|
ESB3-22MUEHLEN||129.128.54.114||Windows|Physical|STS|||ASUS All Series||||||Active|||||EAS|
IST-RATIONAL||129.128.54.115||Windows|Physical|STS|||Dell Inc. OptiPlex 780||||||Active|||||EAS|
ALOCOCK-ESB-B01||129.128.54.116||Windows|Physical|STS||| ||||||Active|||||EAS|
ESB2-04A||129.128.54.116||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
ESB2-04A-WKS1||129.128.54.116||Windows|Physical|EA_Science||| ||||||Active|||||EAS|ESB2-04A-WKS1
NPID774F0||129.128.54.118||Printer|Physical||||Hewlett-Packard hp LaserJet 1320 series||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:ROM B.25.01:JETDIRECT:JD119:EEPROM V.28.05:CIDATE 04/22/2004
L5MT71H||129.128.54.122||Windows|Physical|EA_Science|||Dell Inc. XPS 15 9560||||||Active|||||EAS|
LBUDNEY-T3-34||129.128.54.124||Windows|Physical|STS||| ||||||Active|||||EAS|
ESB319||129.128.54.125||Printer|Physical||||Hewlett-Packard HP Color LaserJet MFP M477fdn||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:SN:VNB8J6X35N:FN:1N72CJ2:SVCID:26328:PID:HP Color LaserJet MFP M477fdn
NPI12A963||129.128.54.128||Printer|Physical||||Hewlett-Packard HP LaserJet 400 color M451dw||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:SN:CNDF608876:FN:Q544KT3:SVCID:25121:PID:HP LaserJet 400 color M451dw
Z5200PS||129.128.54.13||Printer|Physical||||Hewlett-Packard HP Designjet Z5200 PostScript (44'' sized)||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT
NPI0F6D97||129.128.54.130||Printer|Physical||||Hewlett-Packard HP LaserJet 400 color M451dw||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:SN:CNDF509610:FN:Q544DF0:SVCID:24298:PID:HP LaserJet 400 color M451dw
LBUDNEY-T3-34||129.128.54.132||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
XRX9C934E6B7047||129.128.54.132||Printer|Physical|WORKGROUP|||Xerox Xerox WorkCentre 6505DN; Net 95.48:ESS 201306131116||||||Active|||||EAS|Xerox WorkCentre 6505DN; Net 95.48:ESS 201306131116:IOT 02.00.06:Boot 201406231633
ESB3-04MINLAB||129.128.54.134||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
i7-mini||129.128.54.135||FTP server|Physical|||| ||||||Active|||||EAS|
FCMR7UE||129.128.54.136||Windows|Physical|STS||| ||||||Active|||||EAS|
ESB3-04MINLAB||129.128.54.137||Windows|Physical|STS||| ||||||Active|||||EAS|
NPI802C15||129.128.54.138||Printer|Physical||||Hewlett-Packard HP LaserJet 400 color M451nw||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:SN:CNDG117849:FN:Q540LRJ:SVCID:24194:PID:HP LaserJet 400 color M451nw
wapiabi||129.128.54.139||Unknown|Physical|||| ||||||Active|||||EAS|
wapiabi||129.128.54.140||Unknown|Physical|||| ||||||Active|||||EAS|
ESB1-13XRAY-LAB||129.128.54.141||Windows|Physical|sts||| ||||||Active|||||EAS|
ESB-B14-01||129.128.54.142||Windows|Physical|EA_Science|||INTEL_ DQ45CB__||||||Active|||||EAS|
IST-578630||129.128.54.142||Windows|Physical|sts||| ||||||Active|||||EAS|
pearson-lab-002||129.128.54.145||Unknown|Physical|||| ||||||Active|||||EAS|
ESB3-4MHUFF||129.128.54.146||Windows|Physical|EA_Science|||ASUS All Series||||||Active|||||EAS|
318esb||129.128.54.148||Unknown|Physical|||| Microsoft-IIS/10.0||||||Active|||||EAS|
ET0021B7E034A2||129.128.54.149||Printer|Physical||||Lexmark International Lexmark E260dn 72L57T8 LL.LBL.P116c||||||Active|||||EAS|Lexmark E260dn version NR.APS.N310 kernel 2.6.18.5 All-N-1
ESB-B14-002||129.128.54.150||Windows|Physical|STS|||INTEL_ DG965SS_||||||Active|||||EAS|
NPIA9721D||129.128.54.155||Printer|Physical||||Hewlett-Packard HP Color LaserJet CP4020 Series||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD145:EEPROM V.38.92:CIDATE 04/30/2009
wapiabi||129.128.54.156||Unknown|Physical|||| ||||||Active|||||EAS|
WOODLAND-ESB406||129.128.54.157||Windows|Physical|STS||| ||||||Active|||||EAS|
LHEMAN-ESB4-18||129.128.54.158||Windows|Physical|EA_Science|||INTEL_ DQ45CB__||||||Active|||||EAS|
WATCH78||129.128.54.16||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
DCAIRD-ESB-B02B||129.128.54.160||Windows|Physical|STS||| ||||||Active|||||EAS|
ESB4-17SCOPE||129.128.54.160||Windows|Physical|STS|||Dell Inc. OptiPlex 755||||||Active|||||EAS|
ESB-JBANKS-WKS||129.128.54.162||Windows|Physical|EA_Science|||Dell Inc. Precision Tower 5810||||||Active|||||EAS|
NPI3E994E||129.128.54.164||Printer|Physical||||Hewlett-Packard HP LaserJet P2055dn||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD137:EEPROM V.37.12:CIDATE 09/07/2009
ESB2-17-NGEREIN||129.128.54.165||Windows|Physical|EA_Science|||INTEL_ DX58SO__||||||Active|||||EAS|
ESB2-04A-WKS1||129.128.54.166||Windows|Physical|sts||| ||||||Active|||||EAS|
MarySachs||129.128.54.166||Printer|Physical||||Hewlett-Packard HP LaserJet 400 color M451dw||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:SN:CNBJ100616:FN:Q500AZ3:SVCID:22196:PID:Mary Sachs
PWATERTON-T3-13||129.128.54.169||Windows|Physical|STS||| ||||||Active|||||EAS|
200001611090198||129.128.54.171||Unknown|Physical|||| ||||||Active|||||EAS|
YLPS013534||129.128.54.172||Windows|Physical|STS|||FUJITSU ESPRIMO P920||||||Active|||||EAS|
200001611090256||129.128.54.173||Unknown|Physical|||| ||||||Active|||||EAS|
E104-BUDNEY||129.128.54.173||Windows|Physical|sts|||Lenovo ThinkCentre M900||||||Active|||||EAS|
BZIGER-ESB1-03||129.128.54.174||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
ESB3-16-WS2||129.128.54.174||Windows|Physical|STS|||HP Pavilion 061 RC648AA-ABA m7690n||||||Active|||||EAS|
PC-20160520GWDU||129.128.54.174||Windows|Physical|WORKGROUP|||Dell Inc. ||||||Active|||||EAS|
GCHEN-ESB-1-03||129.128.54.175||Windows|Physical|EA_Science||| ||||||Active|||||EAS|
T3-32C||129.128.54.177||Windows|Physical|EA_Science|||Dell Inc. OptiPlex 9010||||||Active|||||EAS|
ADMIN03||129.128.54.179||Windows|Physical|STS||| ||||||Active|||||EAS|
MARGO-T3-13||129.128.54.179||Windows|Physical|sts|||Dell Inc. XPS 8910||||||Active|||||EAS|
wapiabi||129.128.54.180||Unknown|Physical|||| ||||||Active|||||EAS|
NPI9E0D2F||129.128.54.183||Printer|Physical||||Hewlett-Packard HP Color LaserJet 3800||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD128:EEPROM V.28.63:CIDATE 04/07/2006
GERALDINE|ESB 1-16A|129.128.54.184||Printer|Physical||||Hewlett-Packard HP Color LaserJet 3800||||||Active|||||EAS|HP ETHERNET MULTI-ENVIRONMENT:ROM none:JETDIRECT:JD128:EEPROM V.33.19:CIDATE 12/17/2008
