1 NAME|3 IP||4 OS, 5 OS version|6 CATEGORY|2 ROOM|18 RACKINFO|12 SERIAL NUMBER|9 BARCODE||7 OWNER|8 AUTHORITY|14 HOST STATUS|10 DESCRIPTION: Machine Company| Processor| RAM| HDD||
hy2gsdjh2|129.128.184.66||dual-boot, Ubuntu 16.04/Windows 10 Education|regular|CSC265||2GSDJH2|707649|||yang|NOP|Dell Precision T5810|Xeon E5 1650v4|16|||
hylo|129.128.184.10||, |wildwest|CSC251|||no-tag|||artemcm|NOP||FPGA||||
hypatia|129.128.243.134||Linux, RHEL Server 5.6|regular|GSB175|F17|SM40682||||stroulia|NOP||Xeon E5410QC @ 2.33|16|||
icdm2011|129.128.184.25||, |virtual|webdocs|||||||CLEAN||||||
idamay|129.128.23.109||, |||||||||||||||
iddesleigh|129.128.23.106||, |||||||||||||||
idm|||Linux, RHEL Server 5.8|virtual||||NA|||greiner|||||||
innisfree|129.128.21.245||Linux, WPS Ubuntu 16.04|regular|GSB175|F17|C419MJ1|||dept|tst|CLEAN|Dell PowerEdge R300|Xeon X3323 @ 2.5GHz||||
intranet-dev|||Linux, Slackware 12.2.0|alias|launch-dev|||||dept|gordon|CLEAN||||||
intranet-prod|129.128.21.35||Linux, Ubuntu 16.04|virtual|IST VM|||NA||||||||||
intranet-test|129.128.21.11||Linux, Ubuntu 16.04|virtual|IST VM|||NA||||||||||
intranet|129.128.21.35||Linux, Ubuntu 16.04|alias|intranet-prod|||NA||||||||||
ipiatik|129.128.23.251||, |||||||||||||||
irma|129.128.23.17||Windows, 7|regular|ATH329|||||smillie|dept|CLEAN|Lenovo M74 84| Intel Core2 E8400 @ 3.0GHz|8|||
ironwood|129.128.23.97||Windows, 8.1|regular|ATH339||MG00FMXX|598148||bowling|bowling|CLEAN|Lenovo ThinkCentre|Intel Core i7 47700 @ 3.40GHz|16|||
iron-riv|129.128.29.242||Linux, WPS Ubuntu 16.04|regular|ATH335||CYLQRH1|||dept|tst|CLEAN|Dell OptiPlex 755|||||
irricana|129.128.4.248||Linux, WPS Ubuntu 16.04|regular|CSC329||G88223LGXYK|527266||dept|tst|CLEAN|Apple MacPro| 2* @ 2.8GHz|16|||
islay|129.128.29.240||, |||||||||||||||
j5qg482|129.128.16.13||Windows, 7|regular|ATH252B||J5QG482|605665||kgdean|dept|CLEAN|Dell Optiplex 7040|||||
j62g482|129.128.16.9||Windows, 7|regular|ATH237||J62G482|605661||kasorens|dept|CLEAN|Dell Optiplex 7040|||||
j64c482|129.128.16.7||Windows, 7|regular|ATH233||J64C482|605659||britta|dept|CLEAN|Dell Optiplex 7040|||||
j67g482|129.128.16.12||Windows, 7|regular|ATH252A||J67G482|605664||sunrose|dept|CLEAN|Dell Optiplex 7040|||||
j607482|129.128.16.5||Windows, 7|regular|ATH232||J607482|605657||sb4|dept|CLEAN|Dell Optiplex 7040|||||
j629482|129.128.16.8||Windows, 7|regular|ATH235||J629482|605660||kberg|dept|CLEAN|Dell Optiplex 7040|||||
j657482|129.128.16.11||Windows, 7|regular|ATH252F||J657482|605663||lholland|dept|CLEAN|Dell Optiplex 7040|||||
j678482|129.128.16.10||Windows, 7|regular|ATH241||J678482|605662||dchoi|dept|CLEAN|Dell Optiplex 7040|||||
j688482|129.128.16.6||Windows, 7|regular|ATH231||J688482|605658||sharon|dept|CLEAN|Dell Optiplex 7040|||||
jarvie|129.128.23.91||Linux, WPS Ubuntu 16.04|regular|ATH351||9KP1PM1|||dept|dept|CLEAN|Dell OptiPlex 980|Intel i7 860 @ 2.8GHz|8|||
joffre|129.128.22.80||, |cluster|CSC137||SM46050||||steve|CLEAN||Xeon E3110|4|||
kakwa-riv|129.128.23.119||Linux, Ubuntu 14.04|regular|ATH423||ACS05397|512186|||you|CLEAN||AMD 64 DC4600|4|||
karim-timecapsule|129.128.23.49||, |unknown|ATH342||||||karim2|NOP|Apple Time Capsule|||||
kikino|129.128.23.154||Linux, Red Hat 9 (Shrike)|regular|CSC211?||2BZS232229||||lindek|DIRTY||AMD Athlon 2000|1|||
kirriemuir|129.128.23.141||Windows, 10|regular|CSC225||JD7XV52|361517|||lin,anup|CLEAN||Intel i7-4790 @ 3.6GHz|16|||
lacombe|129.128.4.138||MacOS, 10.6|regular|CSC329|C||||dept|tst|CLEAN|Apple Mac|||||
lacorey|129.128.4.94||Linux, WPS Ubuntu 16.04|regular|ATH359||B7L1TF1|524803||greiner|greiner|CLEAN||Intel Core2 E6550|2|||
lafond|129.128.4.61||Linux, WPS Ubuntu 16.04|regular|ATH354||MJ05F3N9|706799||you|you|CLEAN|ThinkCentre M910|Intel i5||||
lamont|129.128.4.80||Linux, Ubuntu 10.04 LTS|regular|ATH340||ACS04614|467913||paullu|paullu|NOP||AMD XP3000|1|||
lanparty|129.128.184.220||OpenBSD, 5.6|regular|CSC139|B|775D5B1|||dept|tst|CLEAN|Dell PowerEdge 850|Intel Pentium4 80547 @ 2.6GHz|512MB|||
lasthenia|129.128.23.214||Windows, |regular|CSC259B3?||L3-4N8N9||||stroulia|DIRTY||Intel Core2 T7400 @ 2.16GHz|2|||
lavoy|129.128.4.137||Windows, 7|regular|CSC143||9950RF1|527271||||CLEAN|Dell 755|||||
la-nonne|129.128.22.89||MacOS, 10.6|regular|CSC329|C|H09410JN10S|||dept|tst|CLEAN||Xeon @ 2.26GHz|6|||
leedale|129.128.23.84||Linux, WPS Ubuntu 16.04|regular|CSC211||0MXX9510CQ4|no-tag|||jonathan,mburo|CLEAN||Intel Core2 Q8300 @ 2.5GHz|8|||
lindale|129.128.23.215||Linux, WPS Ubuntu 16.04|regular|CSC251|||no-tag|||amaral,paullu,jonathan|CLEAN||Intel i5 750 @ 2.67GHz|4|||
linden|129.128.4.126||MacOS, 10.1|regular|ATH302||C02S33HTGG7L|no-tag||stewart|stewart|CLEAN|Apple iMac 27"|||||
lonestar|129.128.25.12||Linux, Ubuntu 14.04|regular|CSC353|||||jag|jag|NOP||||||
looma|||dual-boot, Windows 10 & Ubuntu 14.04|regular|CSC225||JD7YV52|361520|||lin,anup|NOP||Intel i7 4790 @ 3.6|16|||
lousana|||Windows, 7 Pro|regular|CSC211||MXX9510CQF|no-tag|||jonathan|NOP||Intel Core2 Q8300 @ 2.5GHz|8|||
lubicon|129.128.25.30||Linux, Ubuntu 14.04|regular|CSC353||ACS03834|448709||jag|jag|NOP||||||
mackay|129.128.23.31||Linux, WPS Ubuntu 16.04|regular|ATH217||MJPNX40|545582||carolyn|carolyn,rod|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
madden|129.128.23.26||Linux, WPS Ubuntu 16.04|regular|CSC211||MXX9510CQM|no-tag|||jonathan,mburo|CLEAN||Intel Q8300 @ 2.5GHz|8|||
magellan|129.128.23.44||Windows, 10 Education|regular|CSC205||JWDDVR1|no-tag|||hasell,zaiane|CLEAN|Dell Optiplex 990|Intel i7 2600 @ 3.4 GHz|16|500||
maligne-lk|129.128.4.242||MacOS, 10.2|regular|ATH415||XB3370PXNVR|||jonathan|jonathan|NA|Apple PowerMac G5| @ 1.8GHz|512MB|||
mannville|129.128.4.163||MacOS, 10.5.8|regular|ATH347||XB2051NXM8G|438971||goebel|goebel|NOP|Apple PowerMac G4 933||512MB|||
maple|129.128.243.166||Linux, Ubuntu 18.04|regular|GSB175|F17|S267675X8432827|718589||karim2|karim2|CLEAN|Thinkmate AS-1023US-TR4|||||
mariana|129.128.23.188||Linux, Ubuntu 12.04|regular|ATH202||CAC95001J5|||rod|rod|CLEAN|HP d79008C|Intel Core2 E8400 160hq 2U 7k US||||
marion|129.128.22.25||, |cluster|CSC305A||ACS04802||||steve|CLEAN||AMD Opteron 250|16|||
markerville|129.128.23.75||Windows, 7|regular|CSC133||18096520|361505|||hasell,zaiane|CLEAN||Intel i5 4460|8|||
marlboro|129.128.29.238||Linux, WPS Ubuntu 16.04|regular|CSC132||7WSLT41|512183||dept|tst|CLEAN|Dell OptiPlex 755|||||
marten|129.128.4.30||Linux, WPS Ubuntu 16.04|regular|ATH438||6GHSJQ1|||kondrak|kondrak|CLEAN|Dell OptiPlex 790|Intel i5 2400|4|||
marwayne|129.128.4.86||MacOS, 10.9.4|laptop|ATH358||serial|||duane|duane|CLEAN|Apple laptop|||||
mayatan-lk|129.128.4.101||MacOS, 10.6|regular|ATH352||C07D40DSDD6L|||amaral|amaral|CLEAN|Mac mini|Intel Core2 @ 2.4GHz|2|||
maya|129.128.25.133||Linux, Ubuntu 14|regular|CSC301|||477314|||jag|CLEAN||Xeon X3350|4|||
mayerthorpe|129.128.25.63||MacOS, unknown|regular|CSC147||XB3352AM|473449||rltaylor|pierreb|DIRTY|Apple Mac G5-1280|||||
mburo-lt|129.128.4.66||, |laptop|||serial-no|||mburo|mburo|DIRTY||||||
mcid|129.128.184.92||Windows, 8|regular|CSC311||3CR41005CJ|no-tag||chenqu|guohui|NOP|HP Pavilion Model 500-214|||||
mclennan|129.128.4.238||MacOS, 10.11|regular|CSC132||D25GR0AKDHJV|||dept|dept|CLEAN|Apple iMac 27"|Intel i5 @ 2.7 GHz|12|1000||
meanook|129.128.23.57||Windows, 7|regular|CSC225||CRT1XG1|537347|||lin,anup|CLEAN|Dell Optiplex|Intel Core2 E8200|4|||
medserver|129.128.184.96||, |unknown|CSC147||||||pierreb|NOP||||||
mega-rv|129.128.23.158||MacOS, 10.6|regular|ATH215||YM8336127E4|528103||smir|smir|CLEAN|Apple iMac 24"| @ 2.8GHz-204|2|||
melanoma|129.128.184.68||, |regular|CSC205||HWJGJB2|no-tag||zaiane|hasell,zaiane|NOP|Dell PowerEdge T330|Xeon E3-1220 v5 @ 3.00 GHz|8|||
melco|129.128.243.3||Linux, Ubuntu 18.04|regular|GSB175|F16|S240227X8900342|||zaiane|zaiane|CLEAN|Thinkmate XT24-2460V4-10GPU|||||
melissa|129.128.243.4||Linux, |regular|GSB175|F17|CWVSWC1||||stroulia|CLEAN|IBM|||||
menaik|129.128.4.241||Linux, CentOS 5.2 (Final)|regular|CSC329|B|DV2BWC1|508559||dept|dept,steve|CLEAN|Dell PowerEdge 860|Xeon 3050|2|||
michichi|129.128.23.89||, |||||||||||||||
mildred|129.128.25.42||Linux, WPS Ubuntu 16.04|regular|CSC347||JYVBZH1|no-tag||mpolak|zhang|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
millet|129.128.4.95||MacOS, 10.5|regular|ATH150||QT22259EL3V|445498||enright|tony|NOP|Apple iMac G4 @ 700MHz|256MB||||
mininet-laptop|129.128.23.30||Windows, 10 Professional|regular|ATH122|||no-tag||||CLEAN|Dell Precision M4700|Intel i7-3840QM @ 2.8 GHz|32|||
mininet-vm|129.128.23.20||Linux, Ubuntu 14.04 Server|virtual|ATH122|||no-tag||hanvari|hanvari|NOP|Dell Precision M4700|Intel i7-3840QM @ 2.8 GHz|32|||
ministik|129.128.23.87||Linux, WPS Ubuntu 16.04|regular|CSC245||FF12QS1|||miyoung2|tst|CLEAN|Dell XPS 8500|Intel i7-3770 @ 3.4GHz|8|||
mint-dev|129.128.22.151||Linux, Slackware 12.2.0|alias|launch-dev|||||dept|gordon|CLEAN||||||
mint-mon|129.128.22.154||Linux, Cent OS|regular|CSC329|D|H8J2F1X|474864|||steve|NOP|Intel Pentium4 @ 2.67GHz|3||||
mirror|129.128.22.12||Linux, Ubuntu 12.04|regular|CAB311A||2008324|479279||dept|tst|CLEAN|atipa P9245|AMD Opteron 250 @ 2GHz|8|||
mizar|129.128.184.75||, |regular|CSC329|B|SM54879|||rudnicki|rudnicki,steve|NOP||||||
mmueller-lt|129.128.4.56||MacOS, 10.6.5|laptop|ATH345||QT2440EK-N4L-ff0d|||mmueller|mmueller|CLEAN|Apple Mac Powerbook G4| @ 867MHz||||
montagneuse|129.128.23.155||MacOS, |regular|CSC305||XB415020NVQ|467908|||hasell,zaiane|NA|Apple PowerMac G5| @ 1.6GHz|256MB|||
morecame|129.128.23.159||MacOS, 10.5|laptop|||UV34593GQE4|461431|||tst|CLEAN||||||
morley|129.128.4.75||, |||||||||||||||
morningside|129.128.23.178||Linux, WPS Ubuntu 16.04|regular|CSC355||ACS05087|482519||||CLEAN||AMD 64 3400|2|||
morrin|129.128.16.169||Windows, XP Pro|regular|||JT9???|526143|||dept|CLEAN|Dell OptiPlex 755|Intel Core2 @ 2.66GHz|2|||
mstrobl-desktop|129.128.184.16||Linux, Ubuntu|regular|ATH424||||||mstrobl|NOP||AMD Ryzen 7 2700X|16|||
mtu14nv|129.128.41.236||Linux, WPS Ubuntu 14.04|regular|CSC329||CAC91501VC|538272||dept|tst|CLEAN|HP|dc7900||||
mtu14|129.128.41.235||Linux, WPS Ubuntu 14.04|regular|CSC329||8G6TPC1|512135||dept|tst|CLEAN|Dell OptiPlex 745|||||
mtu16nv|129.128.41.234||Linux, WPS Ubuntu 16.04|regular|CSC329||515BJS1|||johnb|tst|CLEAN|Dell OptiPlex 990|||||
mtu16|129.128.41.240||Linux, WPS Ubuntu 16.04|regular|CSC329|||513778||dept|tst|CLEAN|ACS06172|||||
mulhurst|129.128.4.84||MacOS, 10.1|regular|ATH345||C02PQ043FY14|||mmueller|mmueller|CLEAN|Apple iMac|@ 4GHz|16|||
mundare|129.128.4.82||MacOS, 10.8|regular|ATH220||K874212HZCT|524170||mn|mn|CLEAN|Apple iMac @ 2.8GHz|2||||
muriel1|129.128.21.243||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM40022||||mmueller|CLEAN||Xeon E5420QC @ 2.5GHz|12|||
muriel-c1|192.168.85.128||, |cluster|CSC329|C|SM45398||||steve,mmueller|NOP||||||
muriel|129.128.21.242||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM39482||||mmueller|CLEAN||Xeon E5420QC @ 2.5G|12|||
myria|129.128.184.46||Linux, Ubuntu 14.04|regular|ATH452B||ACS06090|510243|||stroulia,hzhang3|NOP||Intel Core2 E6600|8|||
myrnam|129.128.159.136||, |regular|CSC243||XA0320BHJ3C|420265||emarkus|jonathan|DIRTY|Apple Mac G4 400|||||
namao|129.128.25.146||Linux, WPS Ubuntu 16.04|regular|ATH437||ACS05158|482839|||networks|CLEAN||AMD 64 4000|2|||
namur|129.128.4.68||Windows, 10 Pro|regular|ATH322|||||yannis|yannis|CLEAN||Intel i7 8700|64|||
nathan|129.128.184.133||Linux, Ubuntu 18.04|regular|CSC353|||||||||||||
nathan-g5|129.128.159.138||MacOS, 10.4.11|regular|CSC245||XB3410B4NVS|467900||nathanst|nathanst|DIRTY|Apple Mac G5|@ 1.8GHz|1|||
nat-gw|129.128.184.5||OpenBSD, 4.5|regular|CSC329|F|775D5B1|503217||dept|tst|CLEAN|Dell PE 850|Intel Pentium4 80547 @ 2.13GHz|4|||
nazim-acer|129.128.23.51||Windows, 10 Home|regular|CSC259||R3-471T-5448|||nazimudd|nadi|NOP|Acer Aspire R14|||||
neapolis|129.128.22.253||Linux, Scientific 4.2 (Beryllium)|regular|CSC231|B|||||steve|CLEAN|Dell PowerEdge 1750|||||
nebula|129.128.184.48||, |regular|CSC353||||||zichen2|NOP||||||
neerlandia|||, |regular|CSC341||3YB8NM1|||dept|steve|CLEAN|Dell Optiplex 780|Intel Core2 E7500|2|160||
netera-e5|129.128.184.15||, |regular|CSC295A||||||cybera|NOP||||||
nevis|||, ||129.128.25.130|||||||||||||
new-sedgewick|129.128.21.206||Linux, RHEL Server 7.4|virtual|IST VM|||NA|||AppHosting|||||||
new-ssrga|129.128.243.5||, |virtual|melissa|||||dwt|stroulia|NOP||||||
new-ssrgb|129.128.243.6||, |virtual|melissa|||||dwt|stroulia|NOP||||||
new-ssrgc|129.128.243.7||, |virtual|melissa|||||dwt|stroulia|NOP||||||
new-ssrgd|129.128.243.8||, |virtual|melissa|||||dwt|stroulia|NOP||||||
newbrook|129.128.25.214||, ||ATH437||PS128495|431945|||macg,networks|DIRTY||Intel PentiumIII 800|512MB|||
newnorway|129.128.25.153||, |||||||||||||||
newsarepta|129.128.4.69||Windows, 7|regular|CSC315||3GC7HH1|no-tag||dept|dept|CLEAN|Dell 755|||||
ni23-165|129.128.23.250||, |network|CSC165||02915c|406483||dept|steve|CLEAN|NetIron|||||
nicot-lk|129.128.23.59||, |||||||||||||||
nilrem|129.128.4.131||Windows, 7|regular|ATH406||DCLHBK1|||nray1|nray1|CLEAN||Intel i7 920 @ 2.66GHz|12|||
niton|129.128.25.13||Linux, Ubuntu 14.04|regular|ATH437||ACS05641|497681|||netgroup|CLEAN||AMD 64x2 4400+ @ 2.2GHz|3|250||
nojack|129.128.29.236||Linux, openSUSE 13.1|regular|CSC329|B|899FJS1|549748||dept|tst|CLEAN|Dell PowerEdge R310|||||
nordegg|129.128.4.70||MacOS, 10.5.8|regular|ATH252D||G8723536UPZ|513631||macg|macg|CLEAN|Apple MacPro|2x @ 2.66|16|||
northstar|129.128.25.180||, |||||||||||||||
notecc|129.128.184.106||Linux, Ubuntu 16.04|regular|CSC351||||||ktgordon|NOP||||||
oardakan-desktop|||MacOS, 10.12|regular|ATH321||C02V424RJ1GN|586225||oardakan|oardakan|CLEAN|Apple iMac 27"|||||
odb1|129.128.21.98||Linux, Ubuntu 16.04|virtual|IST VM|||NA|||IApps|CLEAN||||||
odb2|||Linux, Slackware 12.2.0|regular||B|12LYYC1|510096||dept|tst|CLEAN|Dell PowerEdge 2950|Xeon 5130||||
odyssey|129.128.23.133||, |regular|ATH338|||||bulitko|bulitko|NOP|Sony PlayStation 4|||||
ohaton|129.128.243.70||Linux, WPS Ubuntu 16.04|regular|GSB175|F17|3CR3DG1|no-tag||dept|tst|CLEAN|Dell 2950|||||
old-onoway|129.128.4.128||Linux, RHEL Server 5.11|regular|CSC231|C|GMTZ3J1|537334||dept|shauna,carolyn,rod|CLEAN|Dell PowerEdge R300|Xeon X3323 @ 2.5GHz|4|||
old-smb-home|129.128.4.32||Linux, Slackware 12.2.0|regular|CSC231|A|7DR6SD1|||dept|tst|CLEAN|Dell PowerEdge 860|Xeon 3050 @ 2.13GHz|2|||
old-warburg|129.128.22.37||Linux, RHEL Server 5.11|regular|CSC231|B|17506C1|510057||dept|tst|CLEAN|Dell PowerEdge 2950|Xeon 5110|8|||
old-webdocs-4|129.128.4.217||Linux, RHEL Server 5.11|regular|CSC231|B||||dept|tst|CLEAN||||||
old-webdocs|||Linux, RHEL Server 5.11|regular|CSC231|B||||dept|tst|CLEAN||||||
otrs-dev|129.128.22.145||Linux, Slackware 12.2.0|alias|launch-dev|||||dept|tst|CLEAN||||||
palisade|129.128.4.99||MacOS, 10.9.5|regular|ATH340||D25MD1MLF8JC|||paullu|paullu|CLEAN|Apple iMac|i7 @ 3.5GHz|32|||
peace-riv|129.128.23.180||Linux, Scientific 5.1 (Boron)|regular|CSC205||ACS04720|469204|||hasell,zaiane|DIRTY||AMD MP2800|2|||
peers|129.128.23.249||Linux, WPS Ubuntu 16.04|regular|CSC251||ACS06174|513784|||amaral,paullu,jonathan|CLEAN||AMD x2 4800|4|||
pendryl|129.128.25.38||Windows, 7|regular|CSC265||9DS0JF1|528946|||yang|CLEAN|Dell Precision Workstation PWS T7400|Xeon E5405|4|||
penhold|||AIX, 5.1.0.0|regular|CSC251A||10733AA||||amaral,paullu,jonathan|NA|IBM eServer p610||1|||
peoria|129.128.23.58||Windows, 7|regular|CSC261||DRT1XG1|537349||lin|lin,anup|CLEAN|Dell Optiplex|Intel Core2 E8200|4|||
pfm2|129.128.184.67||Windows, Server 2012 64-bit|regular|CSC133||7FS5WK1|543297||hasell|hasell|NOP|Dell|Intel Core2 Q9400 @ 2.67GHz|8|||
pibroch|129.128.23.55||Linux, WPS Ubuntu 16.04|regular|CSC211||MXX9510CQN|no-tag|||greiner|CLEAN||Intel Core2 Q8300 @ 2.5GHz|8|||
pickardville|||Linux, Red Hat 9 (Shrike)|regular|CSC305A?||ACS04564|467916|||paullu|NA||AMD MP2400|1|||
pinehurst|129.128.23.128||Windows, |regular|CSC251A||||||denmanse|CLEAN|MemoryExpress|Intel i5|8|||
pinelake|129.128.4.87||, |||||||||||||||
pipestone|129.128.22.42||Linux, WPS Ubuntu 16.04|regular|CSC329|F|SM39131|||dept|tst|CLEAN|SuperMicro X7DBR-8+|Xeon E5430QC @ 2.66GHz|20|||
pizza|129.128.184.21||, |unknown|CSC259B3||||||hindle1|NOP||||||
placid|129.128.25.16||MacOS, 10.11|regular|ATH306||D25R30WLGQ18|604046||zacharyf|zacharyf|CLEAN|Apple iMac|Intel i5 @ 3.2 GHz|16|1000||
polaris|129.128.184.40||, |regular|CSC251A||SM3??|no-tag||||NOP||AMD Opt 2378 @ 2.2GHz|16|||
polygon|||Linux, Ubuntu 16.04|laptop|CSC211||WQ9429738PW|||bulitko|bulitko|NOP|Apple MacBook 13"|Intel Core2 P7550 @ 2.26 GHz|4|250||
ponoka|129.128.16.171||Windows, XP Pro|regular|ATH232|||528139|||dept|CLEAN|Dell OptiPlex 755|||||
priam|129.128.23.135||MacOS, 10.11.3|regular|ATH338||QP9170UT0TM|543237||bulitko|bulitko|CLEAN||Intel Core2 @ 2.93 GHz| 8|||
prn353-clr|129.128.25.67||, |printer|CSC353||JPHAE13146|420464||cs353-clr|jag|CLEAN|HP|Color LaserJet||||
provost|129.128.4.243||, |regular||||||||||||||
psychiatry|129.128.243.168||, |unknown|GSB175|F14|ACS05152|482843||steve|rgreiner|NOP||||||
puppetmaster-r|129.128.4.228||Linux, Ubuntu 12.04|regular|CSC231||HMTZ3J1|537338||dept|tst|CLEAN|Dell PowerEdge R300|||||
pyramid-lk|129.128.23.123||Linux, Scientific 4.3 (Beryllium)|regular|CSC251A||ACS03199||||duane|DIRTY||AMD ACS @ 1.5GHz|2|||
pythais|129.128.243.135||Linux, RHEL Server 5.6|regular|GSB175|F17|SM45386||||stroulia|NOP||AMD Opteron 1216HE @ 2.4GHz|4|||
quack|129.128.4.141||Linux, Fedora 13|regular|ATH401||CNH4480M|479752|||jag|CLEAN|HP Compaq|Semp @ 3.1GHz|512MB|||
ranee|129.128.25.124||Windows, |regular|CSC301||T62K00408D04256||||jag|NOP||Intel Pentium 4 @ 3.2GHz|1|||
ranfurly|129.128.29.237||, |regular|CSC315||1TX37J1|||dept||CLEAN|Dell OptiPlex 755|||||
redwater|129.128.23.22||Windows, XP Pro 5.1.2600|regular|||PS130394|431556|||yuan|NOP||AMD XP 800|1|||
reita-lake|129.128.159.244||Windows, 10 Education|regular|CSC211||MG00FMXX|598148|||bulitko|CLEAN|ThinkCentre M93p Type 10A7|Intel i7 4770 @ 3.4 GHz|16|1000||
repos|129.128.21.207||Linux, Ubuntu 16.04|virtual|IST VM|||NA||||||||||
richdale|129.128.25.129||Linux, Ubuntu 14|regular|CSC353||DG12223130|586195|||karteek,martin|CLEAN||Intel i7 @ 3.77 GHz|32|||
rlai-cmput-1|129.128.159.203||Linux, Ubuntu 18.04 LTS|regular|CSC205|E||||amii|amii|CLEAN||||||
roche-miette|129.128.25.46||Linux, Fedora 13|regular|CSC353||PS125247|444197||cobzas,zichen2|jag|CLEAN||Intel Core2 Q9450 @ 2.6GHz|4|||
rock-crk|129.128.22.20||Windows, Server 2003|regular|CSC231|B|ACS05161|482844||dept|tst|CLEAN||Intel Pentium 4 @ 1.8GHz|512MB|||
rodef|129.128.25.28||Linux, WPS Ubuntu 14.04|regular|CSC301||HRWV4J1|no-tag|||zhang,jag|CLEAN||Intel Core2 E8400|4|||
ron|129.128.184.103||dual-boot, Win10/Ubuntu16.04|regular|CSC225||14265005P|604109||locheng|locheng|NOP||||||
rotationbuilder|129.128.184.62||Windows, unknown|regular|CSC135||||||aicml|NOP||||||
rowley|129.128.25.92||Linux, unknown|regular|CSC353||ACS03672|448708||zichen2|jag|CLEAN||Intel Pentium 4 @ 2.4GHz|1|||
rts|129.128.184.64||Linux, Mint 17.3|regular|ATH424|||no-tag||astanesc|astanesc|NOP||Intel Pentium G2120 @ 3.1 GHz|8|1128||
rumsey|129.128.25.158||Linux, Ubuntu 16.04|regular|CSC301||HRWT5J1|no-tag||cjs|zhang|NOP||Intel Core2 E8400|4|||
russ-home|||Windows, 10 Edu|regular|Off Campus||12BNCH2|704406||greiner|greiner|CLEAN|Dell OptiPlex 7040|Intel i5 6500|8|256||
rycroft|129.128.25.11||, |unknown|CSC315A||31046|423127|||zhang|DIRTY||||||
sabine|129.128.4.45||Windows, 10|regular|ATH432||DHT25K1|543283||joerg|joerg|NOP||Intel i7 920|12|||
saddle-lk|129.128.23.68||Linux, WPS Ubuntu 16.04|regular|CSC251||ACS05146|497708|||paullu|CLEAN||AMD 64 3500|1|||
sakwatamau|129.128.23.236||Windows, 7|regular|ATH351||BB0636|586232|||paullu|CLEAN|ASUS H87M-Plus|Intel i7 4770 @ 3.4GHz|8|||
salient|129.128.22.17||Linux, RHEL AS 4 (Nahant)|cluster|CSC305A||SKPLF2??||||steve,dale|CLEAN||AMD Opteron DP248|6|||
sand-rv|129.128.25.59||Linux, WPS Ubuntu 16.04|regular|CSC315||ACS06127|509920||charles|charles,rod|CLEAN||AMD Athlon 3500 @ 2.4GHz|4|||
sangudo|129.128.25.2||MacOS, 10.6|regular|ATH207||W873340LX86|489480||rene|rene|CLEAN|Apple iMac|Intel Core2 Duo @ 2.4GHz|2|||
sarahs-macbook-pro|129.128.23.129||MacOS, 10.12|laptop|ATH441||C02S13NMFVH8|606053||nadi|nadi|CLEAN|Apple MacBook Pro Retina| @ 3.1GHz||||
sass-lake|129.128.23.67||Linux, WPS Ubuntu 16.04|regular|CSC211||MXX9510CWX|no-tag|||jonathan,mburo|CLEAN||Intel Core2 Q8300 @ 2.5GHz|8|||
saulteaux|129.128.23.245||, |||||||||||||||
sawnlk|129.128.4.250||, |||||||||||||||
sawridge|129.128.23.66||, |||||||||||||||
scotfield|129.128.4.38||Linux, WPS Ubuntu 16.04|regular|ATH409||7S8XPW1|586173||dale|dale|CLEAN|Dell OptiPlex 790|Intel i7 2600|8|||
scotford|129.128.22.14||Linux, WPS Ubuntu 16.04|regular|CSC329|C|SM80374|586214||zhang|zhang|CLEAN|Silicon Mechanics|2x Xeon E5 2630|256|24000||
scovil|||Linux, Red Hat 7.2 (Enigma)|regular|CSC251A||ACS02392|422841|||paullu|NA|ACS|Intel PentiumIII 700D|512MB|||
seba-bch|129.128.23.185||, |||||||||||||||
sedalia|129.128.4.36||, |||||||||||||||
sedgewick|129.128.4.8||Linux, RHEL Server 5.11|regular|CSC231|A|6DR6SD1|||dept|carolyn,shauna,rod|CLEAN|Dell PowerEdge 860|Xeon 3050 @ 2.13G|2|||
sega|129.128.23.139||, |unknown|ATH338|||||bulitko|bulitko|NOP|Xbox One|||||
seiulake|129.128.23.37||Linux, WPS Ubuntu 16.04|regular|ATH217||MJPNW52|524804||shauna|shauna,rod|CLEAN|Lenovo M7484|Intel Core 2 E8400 @ 3.0GHz|8|||
serv-vcenter|129.128.22.60||Linux, Rescue|regular|CSC231|B|F419MJ1|549631||dept|tst|CLEAN|Dell PowerEdge R300|Xeon @ 2.40GHz|4|||
setup4a|129.128.4.1||, |||||||||||||||
setup4b|129.128.4.2||, |||||||||||||||
setup4c|129.128.4.4||, |||||||||||||||
setup4d|129.128.4.5||, |||||||||||||||
setup4e|129.128.4.6||, |||||||||||||||
setup16a|129.128.16.168||, |||||||||||||||
setup16b|129.128.16.174||, |||||||||||||||
setup16c|129.128.16.2||, |||||||sysadmin||||||||
setup16d|129.128.16.3||, |||||||||||||||
setup16|129.128.16.1||, |||||||||||||||
setup22a|129.128.22.1||, |||||||||||||||
setup22b|129.128.22.2||, |||||||||||||||
setup22c|129.128.22.3||, ||CSC139|||||jmartin||||||||
setup22d|129.128.22.4||, ||fs1|||||johnb||||||||
